name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
VLASIC Nikola,Croatia,MID,CRO,,,
PERISIC Ivan,Croatia,FWD,CRO,,,
PASALIC Mario,Croatia,MID,CRO,,,
BATURINA Martin,Croatia,MID,CRO,,,
SUCIC Petar,Croatia,MID,CRO,,,
JAKIC Kristijan,Croatia,DEF,CRO,,,
FRUK Toni,Croatia,MID,CRO,,,
MATANOVIC Igor,Croatia,FWD,CRO,,,
SUCIC Luka,Croatia,MID,CRO,,,
VUSKOVIC Luka,Croatia,DEF,CRO,,,
KOTARSKI Dominik,Croatia,GK,CRO,,,
PASALIC Marco,Croatia,FWD,CRO,,,
ERLIC Martin,Croatia,DEF,CRO,,,
MUSA Petar,Croatia,FWD,CRO,,,
ROOM Eloy,Curaçao,GK,CUW,,,
SAMBO Shurandy,Curaçao,DEF,CUW,,,
GAARI Jurien,Curaçao,DEF,CUW,,,
VAN EIJMA Roshon,Curaçao,DEF,CUW,,,
FLORANUS Sherel,Curaçao,DEF,CUW,,,
ROEMERATOE Godfried,Curaçao,MID,CUW,,,
BACUNA Juninho,Curaçao,MID,CUW,,,
COMENENCIA Livano,Curaçao,MID,CUW,,,
LOCADIA Juergen,Curaçao,FWD,CUW,,,
BACUNA Leandro,Curaçao,MID,CUW,,,
ANTONISSE Jeremy,Curaçao,FWD,CUW,,,
HANSEN Sontje,Curaçao,FWD,CUW,,,
NOSLIN Tyrese,Curaçao,FWD,CUW,,,
GORRE Kenji,Curaçao,FWD,CUW,,,
MARTHA Arjany,Curaçao,MID,CUW,,,
MARGARITHA Jearl,Curaçao,FWD,CUW,,,
KUWAS Brandley,Curaçao,FWD,CUW,,,
OBISPO Armando,Curaçao,DEF,CUW,,,
KASTANEER Gervane,Curaçao,FWD,CUW,,,
BRENET Joshua,Curaçao,DEF,CUW,,,
CHONG Tahith,Curaçao,MID,CUW,,,
FELIDA Kevin,Curaçao,MID,CUW,,,
BAZOER Riechedly,Curaçao,DEF,CUW,,,
FONVILLE Deveron,Curaçao,DEF,CUW,,,
BODAK Tyrick,Curaçao,GK,CUW,,,
DOORNBUSCH Trevor,Curaçao,GK,CUW,,,
KOVAR Matej,Czechia,GK,CZE,,,
ZIMA David,Czechia,DEF,CZE,,,
HOLES Tomas,Czechia,DEF,CZE,,,
HRANAC Robin,Czechia,DEF,CZE,,,
COUFAL Vladimir,Czechia,DEF,CZE,,,
CHALOUPEK Stepan,Czechia,DEF,CZE,,,
KREJCI Ladislav,Czechia,DEF,CZE,,,
DARIDA Vladimir,Czechia,MID,CZE,,,
HLOZEK Adam,Czechia,FWD,CZE,,,
SCHICK Patrik,Czechia,FWD,CZE,,,
